['3.4000000000000017', '0.0865051903114186', 'mass grave tack west cuff', 'perfect']
['2.500000000000001', '0.1599999999999999', 'mass grave tack west cuff', 'now']
['5.599999999999996', '0.03188775510204086', 'mass grave tack west cuff', '']
['2.800000000000001', '0.12755102040816316', 'tack ban dig mop rat tail tang', 'thanks']
['0.1', '99.99999999999999', 'tack ban dig mop rat tail tang', 'tack ban dig mop rat tail tang']
['0.7', '2.0408163265306127', 'health king fit book late matt', 'help book late now']
['6.199999999999994', '0.026014568158168622', 'health king fit book late matt', '']
['2.700000000000001', '0.13717421124828522', 'health king fit book late matt', 'the']
['2.700000000000001', '0.13717421124828522', 'mass grave tack west cuff', 'perfect']
['0', 'NA', 'health king fit book late matt', 'health king fit book late matt']
['2.600000000000001', '0.14792899408284013', 'tack ban dig mop rat tail tang', 'thanks']
['0.5', '4.0', 'health king fit book late matt', 'help']
['3.700000000000002', '0.07304601899196486', 'tack ban dig mop rat tail tang', '']
['5.799999999999995', '0.029726516052318717', 'health king fit book late matt', '']
['5.299999999999997', '0.035599857600569634', 'tack ban dig mop rat tail tang', '']
['2.9000000000000012', '0.11890606420927458', 'health king fit book late matt', 'delete']
['2.3000000000000007', '0.18903591682419646', 'mass grave tack west cuff', 'we have left']
['3.800000000000002', '0.06925207756232679', 'mass grave tack west cuff', '']
['6.099999999999994', '0.026874496103198114', 'health king fit book late matt', '']
['4.999999999999998', '0.04000000000000003', 'tack ban dig mop rat tail tang', '']
['1.7000000000000004', '0.34602076124567455', 'mass grave tack west cuff', 'now we have what']
['4.000000000000002', '0.062499999999999944', 'health king fit book late matt', 'that']
['1.9000000000000006', '0.27700831024930733', 'health king fit book late matt', 'help']
['3.800000000000002', '0.06925207756232679', 'tack ban dig mop rat tail tang', '']
['0.5', '4.0', 'mass grave tack west cuff', 'mass wave fat w kirk']
['4.000000000000002', '0.062499999999999944', 'mass grave tack west cuff', '']
['2.2000000000000006', '0.20661157024793378', 'tack ban dig mop rat tail tang', 'dont wait']
['1.0999999999999999', '0.8264462809917357', 'mass grave tack west cuff', 'max wave cap west']
['4.6', '0.047258979206049156', 'mass grave tack west cuff', '']
['1.2', '0.6944444444444444', 'tack ban dig mop rat tail tang', 'that they did not wait there']
['3.0000000000000013', '0.11111111111111102', 'tack ban dig mop rat tail tang', 'thanks']
['1.0999999999999999', '0.8264462809917357', 'tack ban dig mop rat tail tang', 'that they did not wait there']
['5.4999999999999964', '0.033057851239669464', 'mass grave tack west cuff', '']
