['2.00000', '0.25000', 'and dig mop rat tail tang mass rave tack west', 'market rate there mass wave at west', '0.575']
['5.40000', '0.03429', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['5.90000', '0.02873', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['1.40000', '0.51020', 'and dig mop rat tail tang mass rave tack west', 'market rate salary mass wave hat west', '0.575']
['5.10000', '0.03845', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['1.20000', '0.69444', 'and dig mop rat tail tang mass rave tack west', 'where did mark rate scale same mass wave fat west', '0.8']
['6.20000', '0.02601', 'and dig mop rat tail tang mass rave tack west', '', '0']
['2.60000', '0.14793', 'and dig mop rat tail tang mass rave tack west', 'rate their mass wave fashion west', '0.5']
['1.00000', '1.00000', 'and dig mop rat tail tang mass rave tack west', 'where did mark rate tail same mass wave fat west', '0.825']
['0.10000', '100.00000', 'and dig mop rat tail tang mass rave tack west', 'dig mop rate tail bang mass rave tack west', '0.85']
['1.80000', '0.30864', 'and dig mop rat tail tang mass rave tack west', 'market rate there mass wave at west', '0.575']
['3.80000', '0.06925', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['4.20000', '0.05669', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['4.00000', '0.06250', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['4.70000', '0.04527', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['3.60000', '0.07716', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['1.30000', '0.59172', 'and dig mop rat tail tang mass rave tack west', 'where did mark rate scale same mass wave hat west', '0.8']
['4.60000', '0.04726', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['4.40000', '0.05165', 'and dig mop rat tail tang mass rave tack west', 'delete', '0.075']
['2.20000', '0.20661', 'and dig mop rat tail tang mass rave tack west', 'market rate there mass wave back west', '0.575']
['5.90000', '0.02873', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['4.70000', '0.04527', 'and dig mop rat tail tang mass rave tack west', 'period', '0.075']
['3.40000', '0.08651', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['3.10000', '0.10406', 'and dig mop rat tail tang mass rave tack west', 'right there that 35 w', '0.375']
['3.10000', '0.10406', 'and dig mop rat tail tang mass rave tack west', 'right there that 35 w', '0.375']
['0.90000', '1.23457', 'and dig mop rat tail tang mass rave tack west', 'where did mark rate tail same mass wave fat west', '0.825']
['4.10000', '0.05949', 'and dig mop rat tail tang mass rave tack west', 'great', '0.075']
['1.10000', '0.82645', 'and dig mop rat tail tang mass rave tack west', 'where did mark rate tail same mass wave pat west', '0.825']
['6.30000', '0.02520', 'and dig mop rat tail tang mass rave tack west', '', '0']
